country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Romania,178.2,143.3,125.1,122.2,117.9,127.6,126.2,115.1,101.7,86.3,88.9,90.9,94.1,98.2,99.6,95.6,101.3,97.8,95.6,80.6,78.2,85.1,81.7,69.8,71.1,71.9,69.5,72.9,73.4,71.6,66.3
Slovakia,54.8,48.5,46,43.2,40.1,40.8,40.9,39.5,39.1,38.3,36.3,39.1,38.6,39.1,38,39,37.4,35.2,36.4,33.6,36.1,33.9,32.4,32.5,30,30.3,30.7,32.8,32.3,29.7,26.4
Slovenia,13.3,12.5,12.3,13,13.1,13.9,14.7,15.2,14.7,14.3,14,14.7,14.9,14.8,15,15.2,15.6,15.7,16.8,15,15.2,15.2,14.7,14.1,12.6,12.7,13.6,13.9,13.9,13.3,11.6
Spain,214.6,220.4,241,226,234.1,247.9,244.2,263.6,274.3,298.8,309.3,314,332.3,340.1,362.1,374.9,369.4,380.5,354.8,316.3,300.1,308.5,306.3,274.5,271.9,287.9,280.6,298.3,291.2,270.9,220.2
Sweden,67.4,59.7,61.5,61,64.2,61.5,66.8,61.3,68.4,65.3,57.7,59.2,59.8,64.2,61.9,60.7,62.2,58.9,56.3,53.4,56.9,52,49.1,48.1,46.1,46.4,46.5,45.7,44.7,47.2,45.4
Switzerland,43.3,44.2,44.6,42.2,43.4,40.9,42.5,44.2,44.7,44.2,43.1,46.2,43.9,43.2,43.3,44.2,45,41,43.8,44.2,42.1,40.1,41.4,43.6,38.7,39.5,38,38.8,37.2,38.2,32.4
Turkey,136.2,139.6,143.7,148.3,147,161.1,175.2,185,186.9,187.6,205.7,186.1,196.9,208.9,216.4,224.8,248,272.8,276.3,275.3,276.3,298.8,314.4,303.3,335.1,340.6,359,397.1,390.8,385.3,369.5
Ukraine,761.9,708.1,603.6,519.9,431.7,423.1,366.5,352.7,341,335,335.9,329.3,329.3,336.6,317.5,315.5,324.4,327.5,317.2,272.4,287.9,302.5,299.1,285.7,246.8,194.9,215.3,188.1,198.7,185.4,177.2
United Kingdom,595.2,605.5,588.6,574.6,561.4,558.8,579.4,559.9,560.7,551.2,566.4,577.4,557.9,567.9,573.4,579.1,581.7,570.2,560.4,512.7,528.5,494,510.2,498,456.1,437.8,413.6,401.3,395.3,377.8,317.1
Other Europe,131.7,109.7,96.4,83.7,65.5,69,72.5,82.5,85.3,73.3,84.1,88.9,94.5,101.3,107.1,103.9,108.3,109.7,110.7,111.2,112.9,120.9,112.8,113,102.3,111.6,116.7,120.4,119.5,130.1,113.9
Azerbaijan,54.3,52,44,41.5,37.9,35.8,29.3,27.9,27.8,27.2,28.4,26.2,25.9,27.9,30.8,33.5,33.2,29.9,29.5,25.9,24.9,28.5,29.6,30.2,31,33.6,33.1,32,33.5,35.4,33.8
Belarus,94.1,94.6,87.9,74.1,61.9,53.8,55.2,55.9,54.5,52.2,51,48.7,48.9,47.7,54.7,55.7,57.9,56.7,59.4,57.1,60.2,57,58.5,58.1,57.1,53,53.3,54.4,59.2,58.4,54.5
Kazakhstan,240.6,238.3,236.3,208.5,192.8,168.9,147,129.9,123,114.2,101.5,117.7,119.7,131.8,141.3,145.1,156.4,171.1,186.6,168.1,180.2,203.5,213.4,213.4,216,215,211.6,227.4,251.2,243.2,238.1
Russian Federation,2233.9,2167.9,2072.6,1895.2,1726.3,1616.4,1562.9,1463.7,1445.3,1445.8,1452.8,1466.1,1465.7,1494.7,1489.8,1465.9,1534.4,1527.6,1553.8,1445,1492.2,1555.8,1569.1,1538.8,1539.8,1507,1518.7,1506.3,1563.1,1547.6,1431.6
Turkmenistan,34.7,35.9,34.1,26.7,28.4,23.6,33.8,26.3,32.7,31.6,26.9,33.1,28.7,38.9,38.5,39.1,39.4,38.5,32.3,50.3,54.3,59.9,65.2,58.3,60.5,71.5,70.9,70.2,77.6,84.4,82.9
Uzbekistan,106.4,104.9,99.4,107.6,100.4,97.3,100.1,98.3,105.6,119.4,121.8,122,125.1,113.8,113.9,113.1,106,112.3,107.7,106.1,104.6,109.6,108.1,111,114.2,108.5,103.7,103.4,109.7,109.4,107.1
Other CIS,83.9,67,52,35.7,25.2,20.9,21.7,21.2,21.3,17.4,16,16,16.3,16.4,18.3,19.5,20.3,22.8,24.4,23.6,23.1,24.6,26.6,25.5,27.4,28.6,29.1,29.4,33.2,31.3,33.1
Iran,181.8,201.5,217.8,202.7,227.4,236.6,251.1,259.8,267.9,289.5,304.9,323.9,350.9,355,387.1,409.1,443.5,469.5,488.4,495.5,504.8,517,522.7,544.9,557,551.2,570.9,578.8,617.2,645.1,649.6
